,borouch,block,zipCode,residental units,gross square,taxClass,sale price
3116,2,4178,5,142,112000,2,24800000
3117,2,5350,5,2,3675,2,575000
3118,2,4239,5,0,52830,4,33000000
3119,2,5306,5,3,4500,4,750000
3120,2,5309,5,0,3000,4,782990
3121,2,5340,5,0,5000,4,865000
3122,2,3429,5,1,1916,1,429000
3123,2,3441,5,1,756,1,514000
3124,2,3441,5,1,973,1,291500
3125,2,3442,5,1,970,1,265000
3126,2,3456,5,1,1440,1,390000
3127,2,3460,5,1,2200,1,202500
3128,2,3461,5,1,1140,1,458784
3129,2,3471,5,1,840,1,390000
3130,2,3472,5,1,900,1,250000
3131,2,3472,5,1,900,1,250000
3132,2,3476,5,1,1400,1,455000
3133,2,3495,5,1,1500,1,371500
3134,2,3495,5,1,1910,1,405000
3135,2,3496,5,1,1335,1,390000
3136,2,3500,5,1,1835,1,410000
3137,2,3520,5,1,1185,1,420000
3138,2,3521,5,1,1620,1,454000
3139,2,3527,5,1,1448,1,232000
3140,2,3527,5,1,1290,1,245000
3141,2,3557,5,1,1525,1,382000
3142,2,3557,5,1,1600,1,350000
3143,2,3557,5,1,2225,1,377000
3144,2,3557,5,1,2695,1,347295
3145,2,3651,5,1,2260,1,313627
3146,2,3651,5,1,1292,1,419000
3147,2,3651,5,1,1292,1,219000
3148,2,3757,5,1,1768,1,440000
3149,2,3758,5,1,1430,1,225000
3150,2,3758,5,1,1440,1,385000
3151,2,3758,5,1,1440,1,355743
3152,2,3758,5,1,870,1,242000
3153,2,3766,5,1,1780,1,365000
3154,2,3776,5,1,1392,1,375000
3155,2,3776,5,1,1392,1,432000
3156,2,3871,5,1,1792,1,410000
3157,2,3429,5,2,1340,1,370000
3158,2,3430,5,2,2794,1,539000
3159,2,3436,5,2,2400,1,585493
3160,2,3436,5,2,2400,1,524398
3161,2,3436,5,2,2400,1,575311
3162,2,3436,5,2,2400,1,364026
3163,2,3436,5,2,2400,1,364026
3164,2,3436,5,2,2400,1,364026
3165,2,3436,5,2,2400,1,364026
3166,2,3436,5,2,2400,1,364026
3167,2,3436,5,2,2400,1,598221
3168,2,3436,5,2,2400,1,585493
3169,2,3436,5,2,2400,1,497874
3170,2,3436,5,2,2400,1,544763
3171,2,3436,5,2,2400,1,585493
3172,2,3436,5,2,2400,1,585493
3173,2,3436,5,2,1600,1,590330
3174,2,3436,5,2,2400,1,550999
3175,2,3436,5,2,2400,1,487000
3176,2,3436,5,2,2400,1,511670
3177,2,3436,5,2,2400,1,565128
3178,2,3436,5,2,2400,1,343746
3179,2,3446,5,2,2450,1,475000
3180,2,3446,5,2,2450,1,335000
3181,2,3455,5,2,2420,1,482500
3182,2,3455,5,2,2380,1,230000
3183,2,3455,5,2,2380,1,555000
3184,2,3455,5,2,2380,1,355184
3185,2,3456,5,2,1260,1,465000
3186,2,3456,5,2,1260,1,200000
3187,2,3458,5,2,3080,1,448800
3188,2,3458,5,2,1868,1,530000
3189,2,3460,5,2,1800,1,317586
3190,2,3469,5,2,2428,1,465000
3191,2,3470,5,2,1864,1,348000
3192,2,3470,5,2,2190,1,327750
3193,2,3470,5,2,2040,1,450000
3194,2,3471,5,2,2040,1,580000
3195,2,3472,5,2,2830,1,355000
3196,2,3472,5,2,1610,1,384000
3197,2,3492,5,2,2745,1,480000
3198,2,3492,5,2,2745,1,617410
3199,2,3494,5,2,1550,1,280000
3200,2,3494,5,2,2800,1,420000
3201,2,3495,5,2,2750,1,650000
3202,2,3495,5,2,2750,1,225000
3203,2,3495,5,2,3400,1,490000
3204,2,3497,5,2,3110,1,499999
3205,2,3520,5,2,3040,1,575000
3206,2,3520,5,2,1522,1,300000
3207,2,3522,5,2,2776,1,590000
3208,2,3525,5,2,1368,1,325000
3209,2,3526,5,2,1930,1,374911
3210,2,3555,5,2,3620,1,250000
3211,2,3557,5,2,2640,1,675000
3212,2,3558,5,2,2080,1,290000
3213,2,3560,5,2,3815,1,599000
3214,2,3561,5,2,2800,1,270000
3215,2,3594,5,2,2312,1,293400
