,borouch,building category,zipCode,residental units,gross square,taxClass,sale price
453,1,5,10031,16,12596,2,175000
454,1,5,10032,20,9615,2,14000000
455,1,5,10031,4,3604,2,1320000
456,1,5,10031,4,2637,2,2250000
457,1,5,10031,8,2202,2,1200000
458,1,5,10031,30,45000,2,6539584
459,1,5,10031,68,51570,2,25000000
460,1,5,10031,74,102068,2,32000000
461,1,7,10032,0,4200,4,1500000
462,1,7,10031,0,19186,4,1090101
463,1,7,10031,0,9842,4,3500000
464,1,7,10031,0,19200,4,2600000
465,1,7,10031,0,37165,4,15600000
466,1,7,10031,0,11500,4,8000000
467,1,9,10031,2,3516,4,2890000
468,1,1,10031,1,2845,1,2260000
469,1,1,10031,2,3260,1,1512500
470,1,5,10027,10,1850,2,1445000
471,1,5,10027,6,1850,2,1500000
472,1,5,10031,21,17265,2,6800000
473,1,5,10031,21,17540,2,6800000
474,1,5,10031,37,41520,2,14500000
475,1,5,10027,50,53340,2,7630400
476,1,5,10031,26,27810,2,1540000
477,1,7,10027,0,11579,4,3450000
478,1,1,10463,1,1224,1,635000
479,1,1,10463,1,1224,1,307242
480,1,5,10463,21,12670,2,2110000
481,1,5,10463,18,14320,2,3470000
482,1,5,10463,9,12600,2,2085000
483,1,5,10034,25,13265,2,5700000
484,1,5,10034,25,22805,2,63600000
485,1,5,10034,29,22320,2,5832500
486,1,5,10034,17,12224,2,2850000
487,1,5,10034,36,24985,2,10350000
488,1,5,10034,20,19020,2,6900000
489,1,5,10034,48,30896,2,12900000
490,1,5,10034,61,61584,2,19200000
491,1,5,10034,60,54261,2,17700000
492,1,7,10463,0,3200,4,1062000
493,1,7,10034,0,7000,4,1400000
494,1,7,10034,0,7000,4,1827000
495,1,1,10018,2,4747,1,6100000
496,1,5,10018,24,8214,2,7950000
497,1,5,10018,9,7720,2,4840000
498,1,7,10001,0,11250,4,124700000
499,1,7,10018,0,6957,4,5000000
500,1,7,10001,0,7920,4,9180000
501,1,7,10001,0,350000,4,330000000
502,1,7,10001,0,265562,4,5300000
503,1,7,10018,0,20344,4,18500000
504,1,1,10003,2,2880,1,4600000
505,1,1,10003,2,3800,1,3900000
506,1,1,10016,2,2898,1,5750000
507,1,5,10003,10,5720,2,6650000
508,1,5,10016,18,10625,2,7200000
509,1,5,10016,894,829024,2,620000000
510,1,5,10016,67,47820,2,52000000
511,1,7,10010,0,113056,4,174000000
512,1,7,10003,0,1900,4,13000000
513,1,7,10003,184,146246,4,46500000
514,1,7,10003,6,4132,4,27500000
515,1,8,10010,0,12226,4,14700000
516,1,1,10013,1,3700,1,7090000
517,1,5,10013,26,14931,2,15200000
518,1,5,10012,18,9170,2,9500000
519,1,7,10012,2,6875,4,23500000
520,1,7,10013,0,32214,4,11000000
521,1,5,10002,19,10230,2,5060000
522,1,5,10002,20,11321,2,9200000
523,1,5,10002,8,7535,2,4400000
524,1,5,10002,22,8506,2,11400000
525,1,5,10002,10,9990,2,9600000
526,1,5,10002,19,7425,2,7550000
527,1,5,10002,15,12168,2,12900000
528,1,5,10002,20,11000,2,10000000
529,1,5,10002,8,8421,2,5500000
530,1,5,10002,78,57128,2,61500000
531,1,5,10002,20,23030,2,21200000
532,1,5,10002,3,4980,2,5250000
533,1,5,10002,4,11141,2,9800000
534,1,7,10002,2,4544,4,6988000
535,1,7,10002,0,1750,4,3800000
536,1,7,10002,0,5338,4,6000000
537,1,7,10002,0,5930,4,9000000
538,1,7,10002,0,7520,4,8000000
539,1,7,10002,3,5696,4,8700000
540,1,7,10002,0,5000,4,8000000
541,1,7,10002,0,12166,4,9575000
542,1,7,10002,0,3823,4,3600000
543,1,7,10002,0,13000,4,15500000
544,1,7,10002,0,39064,4,30750000
545,1,7,10002,0,14554,4,16750000
546,1,7,10002,0,24800,4,31500000
547,1,9,10002,0,12438,4,11350000
548,1,1,10026,3,3333,1,3075000
549,1,5,10025,36,14268,2,2350000
550,1,5,10025,20,12805,2,10350000
551,1,5,10025,20,11390,2,9400000
552,1,5,10025,10,7540,2,4554000
553,1,5,10025,14,12215,2,7595000
554,1,5,10025,30,20412,2,17000000
